savjetodavno tijelo	advisory body
veo neznanja	the veil of ignorance
nema na Cemu!	don't mention it!
trgovina odjeGe za djevojke	girl's shop
funkcionalni stil	functional style
ponovno izgraditi	rebuild
lonCanica	pot plant
troznaCni	three-valued
ergodski	ergodic
upotreba prozora	windowing
bakterijski	bacterial
stalni odbor	standing committee
zavijanje	yowl
burmanka	burmese
Zlijeb	trough
Zalost	weeds
nosaC aviona	flattop
sloboda zapoSljavanja	freedom of employment
potlaCen	dominated
zakonski akt	legal act
koji rasprSuje	dispersive
ispusna sapnica	exhaust pipe
neobnovljen	unrenewed
govorni promet	voice traffic
sorter	sorter
biomehanika hoda	biomechanic of walking
vrsta objekta	type of object
pravo na pravnu zaStitu	right to justice
zakulisni	off stage
kapanje	trickle
poslovati	work
cjevanica	shin bone
hvatanje	trapping
unutraSnji plovni put	inland waterway
ZiCani okvir	wire frame
osobni integritet	personal integrity
gotiCki natpisi	gothic inscriptions
doajen	doyen
za poslovno dopisivanje	for business writing
mreZni sastanak	online meeting
elektroniCke mreZe	electronic networks
dopunjen	supplemented
medicinski oblog	compress
medicinsko odluCivasnje	medical decision making
europska sigurnost	european security
osoba ili predmet koji je stalan	fixture
delikatnost	delicacy
razderana rana	laceration
leverage lease	leverage lease
datula	date (fruit)
notoran	notorious
honduras	honduras
kulturna iznimka	cultural exception
naviti	wound
obiljeZaC	centre punch
pastoralan	pastoral
financijsko modeliranje	financial modeling
ukraSen	spiffy
poStovanje	veneration
zraCna zviZdaljka	air whistles
logorovati	camp
pet stotina	five hundred
obrazac poziva	call model
verglaS	organ grinder
kratkoroCni krediti	short-term loans
petterssenova metoda	petterssen's method
brodska elisa	paddle wheel
dinamika slijetanja zrakoplova	dynamics of landing aircraft
u mom srcu	in my heart
zlouporaba prekurzora	diversion of precursors
tvorbene varijante	formative variants
stiSati	turn down
cilj odgoja i obrazovanja	educational goals
prezbiterijanac	presbyterian
prvi prozor (podruCje valnih duljina oko 850nm)	first window
brzina gama doze	gamma dose rates
uzaludno troSiti	waste
dijeljena sabirnica	shared bus
na razini	awash
nekarakteran	unprincipled
zavrSna stopica	terminating pin
Stavalj	rumex
napravi snimak	snapshot
svagdje	in all places
ukras oko velikog poCetnog slova	vignette
stupanje na snagu konvencije	entering of conventions into force
sonar	sonar
informacijski uvjet	informational condition
prokuSan	well-tried
distribucija elektriCne energije	distribution of electric energy
osobenost	speciality
CeliCan	steely
organske tvari	organic matter
boCni rotacijski servis	windmill service
prevuCeno bitumenom	bitumenize
muSke gaGe	pants
pogodbeni naCin	conditional
vihor	wind-spout
obustava	suspense
normalna dob umirovljenja	normal pension age
socijalni identitet	social identity
konkretnije	more specifically
spektralni	spectrographic
hrvatski sabor	the croatian parliament
informacijsko druStvo	information society
potraZiti	seek out
reliabilizam	reliabilism
zrake)	collimator
gospodarska sloboda	economic freedom
puStanje robe u promet	release of the products
ton za uzeGa	busytone
glavica luka	onion
libertarijanac	libertarian
je li sve u redu	all right, mate?
vaZeGi	valid
pjeskovita obala	beach
ponosni	proud
vaZeGe	valid
rijeCni galeb	black-headed gull
abrogacija	abrogation
telSiai	telSiai
ponosno	proudly
novi materijali	new materials
otkupljiv	callable
bitova po uzorku slike	bits per pixel
Zivost	sparkle
omotnici	envelope
indeks seroloSke razlike	serological differentiation index
nadoGi	advene
ponovo pokrenuti	restart
stoCna hrana	provender
hibridni	hybrid
saZet (stil)	compac
maDijanje	bewitching
prostor pjesme	poetic space
most-usmjernik	bridge-router
stenografkinja	stenographer
inteligentni kooperativni sustav	intelligent cooperative system
Zutovoljka	yellowhammer
odabir datoteka	selecting files
isplata kupona	cupon payment
izranjanje	emerging
student konzervatorstva	conservation student
oksidi	oxides
opGi utisak	concept
dobronamjernost	good will
izvrGi ruglu	stultify
sklop specijaliziran za matematiCke operacije	math coprocessor
rjeSen	solved
izrada navoja	threading
rak rana	canker
prvi pomoGni trener	full-time assistant
pravilnost	validity
slobodno pokriGe	free cover
sveobuhvatan	overarching
sretan dan	lucky day
specijalizirana oprema	specialised equipment
preCac tipkovnicom	shortcut key
budžetski	budgetary
vorarlberg	vorarlberg
numeriCko rjeSavanje sdj	numerical solving sde
zapaljivi proizvod	inflammable product
zapinjanje vorteksa	pinning of vortices
fitinska kiselina	phytic acid
guza	buttocks
izrezati	cut up
slobodni opticaj	free circulation
neprilike kod torpediranja	trouble-shooting
metoda integracije	integration method
nagraDen	remunerative
burundi	burundi
globiti	fine
binarna znamenka	bit
bar kod	bar code
transverzalan	traversal
Zivopisnost	vividness
zob	oats
rupiCav	cavernous
nezamrSen	unentangled
subsidijarnost	subsidiarity
dizalo	lift
podijeli	shared
koncepcija	conception
zop	jmc
raspodjela duljine paketa	packet length distribution
zov	cry
naoruZavanje	arms
odreGi se	waive
mohikansi	mohicans
ukinuti ispravljanja	undo revisions
slagati se s nekim	get on well with
snabdijevati zrakom	Grate
tumaCiti odredbe	to construe provisions
pravomoGnost	validity
sjetiti se	think
cjevovod oduSnika i sondi	air and sounding pipes
upuGenik	assignat
odreknuGe	abdication
obnoviti	update
bljutav	unsavoury
po abecedi	alphabetically
patuljci	elves
sugestivan	suggestive
prijenosna frekvencija	carrier frequency
saZeta datoteka	zipped file
segesticu	segestica
onemoguGiti	to make impossible
pogonski program	volume tracking driver
rastezljiv	stretch
subjektivna dimenzija	subjective dimension
paljenje	priming
radiolokacija	radiolocation
raCunalo	counting-frame
televizijski odaSiljaC	television transmitter
zraCnik	ventilation cowl
sluZbeni naslov	formal title
model izgradnje imidža	image development model
raCunala	computers
kanal aloha	aloha channel
leganj mraCnjak	whippoorwill
donjem	lower
trajnost.	durability
muSka duSa	soul
treGih	third
drvene konstrukcije	timber structures
respiratorni	respiratory
razasut	sporadically
presavijanje	wrap
aromatizirati	aromatize
potenciranje	exponentiation
i dalje	still
ugovor o radu	work contract
rustikalnost	rustic quality
statistika obrazovanja	education statistics
suviSe	too much
molekula stvorena od dvije manje indentiCne moleku	dimer
ocjenjivanje	review
koji se moZe poniStiti	retractable
sulfonildioksepinoazirini	sulphonyldioxepinoazirines
profinjen	sophisticated
prevlaCenje broncom	bronze
smanjenje rizika	decrease of risk
predvidljivost	predictability
trajnosti	durability
detonatorska kapisla	blasting cap
mufloni	muflons
zazirati	suspect
trbuSna duplja	abdomen
muflona	mouflons
opeklina od sunca	sunburn
linotip	linotype
pogorSanje	retrogression
zasjedati	sit
auto-generacija	autogeneration
svinjska mast	lard
ekspozitura	exposition
prerada hrane	food processing
polovan	used
solubilna gvanilat ciklaza	soluble guanylate cyclase
patohistologija	pathohistology
ograniCenje transfera dionica	share transfer restriction
telefonski krug	telephone circuit
sredstvo za brtvljenje	sealant
ljeStarka	hazel grouse
monarh	sovereign
posjedovanje	possession
mladenaCki	youthful
unutarnje ocjenjivanje	internal evaluation
centralizacija poslovanja	centralization of performance
reducirana dimenzionalnost	reduced dimensionality
figuralni	figural
obala za iskrcaj materijala	material unloading quay
obveza iz ovoga sporazuma	obligation under this agreement
osnivanje plovnih objekata	navigation vessels design
smatrati prikladnim	consider appropriate
apostolska djela	acts
gostovanje	guest
izraZajnost	significance
sudaCka odluka	referee's decision
raskoSnih	luxurious
obazriv	wary
naknadne mjere	subsequent measures
graDanin	townsman
lemilo	soldetron
zapapreno jelo	pepper pot
ventil rotacijske osovine	rotary-shaft valve
molitvenik	prayerbook
interna medicina	internal medicine
morfologija koZe	morphology of hide
dokazivati	verify
uprava za gospodarstvo	department for the economy
lokalna mreZa prijenosne brzine do 100 mb/s	fast ethernet
sjevernojadranski prostor	northadriatic area
thueova jednadžba	thue equation
rizik preranog otplaGivanja obveza	prepayment risk
gradski zavod za katastar i geodetske poslove	city bureau for surveying and cadastral affairs
mekani sir	soft cheese
element za grananje (optiCkog signala)	branching element
sidreni prsten	bolster plate
eluat	leachate
elektroniCka zapovjedna ploCa	electronic bidding board
drogirati se	take stimulants
nesimetriCna digitalna pretplatniCka linija	asymmetric digital subscriber line
raCunalni podatci	computer data
direktni pristup	direct access
dijeljena baza podataka	shared database
auto-servis	auto repair shop
viSestruko prepletanje stanica	cell multiplexing
proterozoik	proterozoic
tovnost	meat production
jedinica mjerenja	measurement unit
iz Cega se puno moZe zakljuCiti	revealing
dobro opremljen	well-equipped
isteknuGe	expiration
ozlovoljiti	displease
preDen	spun
tuneli	underground rooms
uZina	snack
okteti za sinkronizaciju okvira	framing octets
etiCko okruZenje	ethical environment
neplaGanje carina	non-payment of customs duties
minimalnoj	minimum
koliki	what
liganj	squid
polagati pravo na	assert a right to
koliko	so
ukratko ponovi	recapitulate
odlijevanje	decantation
fakultet elektrotehnike, strojarstva i brodogradnj	faculty of electrical engineering, mechanical engi
dominantnost	preeminence
sluSanja	listening
nejednoliko kodiranje	non-uniform encoding
oCajavati	despair
kokosov orah	coconut
curaçao	curaçao
artefakt	artifact
kolotura	pully
planuti	fly out
nove supstancije	novel compounds
dvije treGine	two-thirds
politiCko pitanje	political issue
poCetna vrijednost	radix
nabusit	snappish
novonastao	newly arisen
zamjenski proizvod	substitute product
naznaCeno	noted
predvidivog	predictable
izazivaCki	quarrelsome
frekventno izbijanje	beat frequency
ozbiljan	sincere
geoloSka prospekcija	geological prospecting
eritropoeza	erythropoesis
oporavak od poremeGena djelovanja	disaster recovery
pravom	rights
brzina	velocity
biafra	biafra
brzine	speeds
fasader	plasterer
znak za umetanje	caret
skala bez nule	set-up scale
obeGajemo	pledge
spacificirati	specify
navodeGi	showing
varijetet	variety
svitkovci	chordates
liSiti	divest
planirani grad	planned town
Zivjeti zajedno	cohabit
slojevitost	stratification
kuGevna	notable
naponski kontrolirani oscilator	voltage controlled oscillator
slana voda	saltwater
rukavi bez prstiju	mitt
luZina	lye
uvjetno oblikovanje	conditional formatting
tankostijeni nosaC	thin-walled girder
priopGajni pojas	communication band
klasifikacija sportova	sports classification
standard pal	pal standard
etiCki apsolutizam	ethical absolutism
opseg trgovinske razmjene	trade volume
makrorazina	macro level
moglo bi se reGi	it can be said
dvostruko povezani koncentrator (na prsten lokalne	dual-attached concentrator
bez obavijesti	no heard
odreDivanje vijeka trajanja	age-dating
iver	splinter
pobuda	stimulus
spojiti lukom	arch
prijevozne isprave	transportation documents
etnogeneza slavena	slavic ethnogenesis
debljina zavara	weld throat
jedinica izloZenosti	unit of exposure
slavljeniCki	jubilant
zamjenska Sifra	substitution cipher
ponovno uspostaviti reZim ekrana	restore crt mode
lopovska druZina	mob
pruZen	provided
multigrid metode	multigrid methods
vuk	wolf
indeks cijena	price index
sporiti	dispute
macerali	macerals
sjedalo uz prolaz	aisle seat
ucrtatano u mapu	charted
asinkrona komunikacija	asynchronous communication
prasnuti u smijeh	snort
obiCni rasjed	true fault
uroDen	native
mikro kontrolo r	microcontroller
moCuga	cudgel
neiskren kompliment	left handed compliment
pitanje od zajedniCkoga interesa	issue of mutual interest
strankama	customers
jednoglasje	unison
kuGanski	housekeeping
izravne komunikacije	on-line communications
kartografski izvori	cartographic sources
bornil acetat	bornyl-acetate
grebenasta sklopka	drum-type switch
kolektivnih	collective
hod motora	stroke (engine)
porinuti	launch
e-uprava	electronic government
knjiZnica programa s dinamiCnim povezivanjem	dynamic link library
dolCevita	turtleneck
dvostrani odnosi	bilateral relations
puna adresa	full address
stanje pripravnosti u hitnim sluCajevima	emergency preparedness
zavrSetak	wind up
literarna komunikacija	literary communication
montirati	rig
koordinacija metala	metal coordination
izvrSio	committed
koji guta	devouring
ulazni podaci	input data
zaStita krajolika	protection of the landscape
zanovijetalo	nuisance
rubac	wrapper
neprisustvovanje	non-attendence
sustavni	systematic
kapacitet u balama	bale capacity
toCna pojedinost	minutia
ultrazvuk abdomena	abdominal ultrasound
drogiran	stoned
Sarena patka	harlequin
distributivna trgovina	distributive trades
glasine	rumour
stanje raCuna	statement of accounts
pristojba zajedniCke carinske tarife	cct duty
oruZanih	armed
involucija	involution
jezovito	eerily
parangal	trawl-line
monetizacija duga	debt monetization
sova	owl
raCunalni kriminal	computer crime
maksimizacija	maximization
sastavljati	make up
djeca s mentalnom retardacijom	children with mental retardation
pravilo o postotku	percentage-rule
generator	source
imunohistologija	immunohistology
negativnost	negativity
oporezivanje poduzeGa	corporate taxation
proizvodnja nafte	petroleum production
samobiljeZenje	autoregistration
sljepilo	blindness
radiC-divlji	wild chicory
ohrabriti	spirit up
cucla	soother
kapsaza	capsazes
odbor za predstavke i prituZbe	committee for petitions and complaints
